Epoch: 0, Iteration: 0, Loss: 0.5253282189369202
Epoch: 1, Iteration: 0, Loss: 0.5245264172554016
Epoch: 2, Iteration: 0, Loss: 0.5237715244293213
Epoch: 3, Iteration: 0, Loss: 0.5230286121368408
Epoch: 4, Iteration: 0, Loss: 0.5222935676574707
Epoch: 5, Iteration: 0, Loss: 0.5215502381324768
Epoch: 6, Iteration: 0, Loss: 0.5208466053009033
Epoch: 7, Iteration: 0, Loss: 0.5201537609100342
Epoch: 8, Iteration: 0, Loss: 0.5194724798202515
Epoch: 9, Iteration: 0, Loss: 0.5188343524932861
Epoch: 10, Iteration: 0, Loss: 0.5181929469108582
Epoch: 11, Iteration: 0, Loss: 0.517531156539917
Epoch: 12, Iteration: 0, Loss: 0.51689612865448
Epoch: 13, Iteration: 0, Loss: 0.5162655115127563
Epoch: 14, Iteration: 0, Loss: 0.5156314373016357
Epoch: 15, Iteration: 0, Loss: 0.5149977207183838
Epoch: 16, Iteration: 0, Loss: 0.5143294930458069
Epoch: 17, Iteration: 0, Loss: 0.5136544108390808
Epoch: 18, Iteration: 0, Loss: 0.5129360556602478
Epoch: 19, Iteration: 0, Loss: 0.5121839642524719
Epoch: 20, Iteration: 0, Loss: 0.5113893151283264
Epoch: 21, Iteration: 0, Loss: 0.5106280446052551
Epoch: 22, Iteration: 0, Loss: 0.5099654793739319
Epoch: 23, Iteration: 0, Loss: 0.509332001209259
Epoch: 24, Iteration: 0, Loss: 0.5086570978164673
Epoch: 25, Iteration: 0, Loss: 0.5079470872879028
Epoch: 26, Iteration: 0, Loss: 0.5072248578071594
Epoch: 27, Iteration: 0, Loss: 0.506534993648529
Epoch: 28, Iteration: 0, Loss: 0.5059196352958679
Epoch: 29, Iteration: 0, Loss: 0.5052684545516968
Epoch: 30, Iteration: 0, Loss: 0.504654049873352
Epoch: 31, Iteration: 0, Loss: 0.5040768384933472
Epoch: 32, Iteration: 0, Loss: 0.5035620927810669
Epoch: 33, Iteration: 0, Loss: 0.5030863881111145
Epoch: 34, Iteration: 0, Loss: 0.502771258354187
Epoch: 35, Iteration: 0, Loss: 0.5024538040161133
Epoch: 36, Iteration: 0, Loss: 0.5021031498908997
Epoch: 37, Iteration: 0, Loss: 0.5016728043556213
Epoch: 38, Iteration: 0, Loss: 0.5011060237884521
Epoch: 39, Iteration: 0, Loss: 0.5004386901855469
Epoch: 40, Iteration: 0, Loss: 0.49971523880958557
Epoch: 41, Iteration: 0, Loss: 0.49895501136779785
Epoch: 42, Iteration: 0, Loss: 0.49813124537467957
Epoch: 43, Iteration: 0, Loss: 0.49729251861572266
Epoch: 44, Iteration: 0, Loss: 0.49639973044395447
Epoch: 45, Iteration: 0, Loss: 0.4954296052455902
Epoch: 46, Iteration: 0, Loss: 0.4943472743034363
