Epoch,Iter,Loss
0,0,0.493349254
0,1,0.528873682
0,2,0.476194233
0,3,0.474950194
0,4,0.481240392
1,0,0.538698912
1,1,0.453318775
1,2,0.486096829
1,3,0.500552893
1,4,0.449397802
2,0,0.477279603
2,1,0.482098222
2,2,0.442423403
2,3,0.446441233
2,4,0.48819977
3,0,0.4938595
3,1,0.444128275
3,2,0.471323192
3,3,0.410706758
3,4,0.449835122
4,0,0.429636538
4,1,0.482275903
4,2,0.504148185
4,3,0.463184595
4,4,0.432363153
5,0,0.508217394
5,1,0.457670569
5,2,0.427070349
5,3,0.454452217
5,4,0.375974119
6,0,0.445656151
6,1,0.40013206
6,2,0.384688079
6,3,0.478072882
6,4,0.450913399
7,0,0.418147594
7,1,0.434034228
7,2,0.452620387
7,3,0.406958699
7,4,0.450412363
8,0,0.404338211
8,1,0.362042159
8,2,0.40108633
8,3,0.36197257
8,4,0.341247499
9,0,0.372705221
9,1,0.362847567
9,2,0.349176407
9,3,0.303262711
9,4,0.410674453
10,0,0.34437117
10,1,0.344988853
10,2,0.299713194
10,3,0.301895618
10,4,0.237789452
11,0,0.225032985
11,1,0.257377982
11,2,0.253788829
11,3,0.162243009
11,4,0.187697202
12,0,0.244640648
12,1,0.193350077
12,2,0.251850069
12,3,0.254074216
12,4,0.233826026
13,0,0.282548785
13,1,0.244420141
13,2,0.267399758
13,3,0.212626994
13,4,0.188401535
14,0,0.20947054
14,1,0.273580402
14,2,0.203410611
14,3,0.236122042
14,4,0.181801736
15,0,0.197376817
15,1,0.229544297
15,2,0.196776614
15,3,0.232086658
15,4,0.226546347
16,0,0.229474455
16,1,0.212425783
16,2,0.265552461
16,3,0.270847559
16,4,0.166141629
17,0,0.229049146
17,1,0.208161741
17,2,0.190630168
17,3,0.176750511
17,4,0.219348326
18,0,0.240992561
18,1,0.206537306
18,2,0.188881397
18,3,0.186403632
18,4,0.288047969
19,0,0.201803029
19,1,0.248605043
19,2,0.189654589
19,3,0.264111817
19,4,0.221706659
20,0,0.191208735
20,1,0.243948311
20,2,0.213937372
20,3,0.196053475
20,4,0.226637825
21,0,0.24801451
21,1,0.278908461
21,2,0.236067146
21,3,0.195125639
21,4,0.20318386
22,0,0.261981249
22,1,0.186433986
22,2,0.197932959
22,3,0.219507575
22,4,0.211538598
23,0,0.222259849
23,1,0.177002192
23,2,0.14659214
23,3,0.196650296
23,4,0.1963007
24,0,0.192628995
24,1,0.26116699
24,2,0.223567665
24,3,0.193445176
24,4,0.176385283
25,0,0.202722594
25,1,0.165962264
25,2,0.212661296
25,3,0.150468647
25,4,0.180947363
26,0,0.20683971
26,1,0.206485972
26,2,0.189071044
26,3,0.244718507
26,4,0.246040493
27,0,0.205608457
27,1,0.275924087
27,2,0.210742757
27,3,0.22806555
27,4,0.194542587
28,0,0.146311671
28,1,0.213768125
28,2,0.236638471
28,3,0.234960228
28,4,0.191131786
29,0,0.198233992
29,1,0.213516951
29,2,0.209534198
29,3,0.2051
29,4,0.214917988
30,0,0.205175728
30,1,0.182702407
30,2,0.203935012
30,3,0.21371752
30,4,0.242234975
31,0,0.203879341
31,1,0.184827536
31,2,0.220145702
31,3,0.227299422
